id,title,text,label
16,BREAKING: Scientists Discover Cure for All Diseases! 52,"Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...",0
17,Sports Team Wins Championship After Close Match - 2,"The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...",1
18,Shocking Truth: Government Hiding Alien Contact 11,"According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...",0
19,Government Releases Annual Budget Proposal - 86,"The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...",1
20,Celebrity Secretly Controls World Government 22,"Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...",0
21,Local Council Approves New Infrastructure Project - 59,Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...,1
22,Miracle Diet: Lose 50 Pounds in 1 Week! 94,"Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...",0
23,Sports Team Wins Championship After Close Match - 98,Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...,1
24,WARNING: Your Phone is Spying on You Right Now! 16,Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...,0
25,University Researchers Make Progress in Cancer Study - 40,The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...,1
26,Amazing: This One Trick Doctors Don't Want You to Know 2,"Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...",0
27,Company Announces Quarterly Earnings Report - 5,"The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...",1
28,Incredible: Free Money for Everyone Starting Next Week! 93,"According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...",0
29,School District Implements New Education Program - 40,The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...,1
30,Miracle Diet: Lose 50 Pounds in 1 Week! 29,"According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...",0
31,Company Announces Quarterly Earnings Report - 20,"The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...",1
32,BREAKING: Scientists Discover Cure for All Diseases! 22,"According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...",0
33,Sports Team Wins Championship After Close Match - 71,"The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...",1
34,Unbelievable: Man Lives to 200 Years Using This Method 88,Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...,0
35,City Opens New Community Center for Residents - 61,"The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...",1
36,Celebrity Secretly Controls World Government 26,Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...,0
37,Local Council Approves New Infrastructure Project - 25,Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...,1
38,WARNING: Your Phone is Spying on You Right Now! 40,"Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...",0
39,Sports Team Wins Championship After Close Match - 6,Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...,1
40,Unbelievable: Man Lives to 200 Years Using This Method 74,Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...,0
41,Local Council Approves New Infrastructure Project - 31,Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...,1
42,WARNING: Your Phone is Spying on You Right Now! 65,Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...,0
43,Sports Team Wins Championship After Close Match - 73,Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...,1
44,Unbelievable: Man Lives to 200 Years Using This Method 38,Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...,0
45,City Opens New Community Center for Residents - 87,The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...,1
46,EXPOSED: The Real Truth Behind Recent Events 6,Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...,0
47,Museum Hosts Exhibition of Historical Artifacts - 68,The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...,1
48,Amazing: This One Trick Doctors Don't Want You to Know 65,Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...,0
49,City Opens New Community Center for Residents - 80,Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...,1
50,Amazing: This One Trick Doctors Don't Want You to Know 98,Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...,0
51,University Researchers Make Progress in Cancer Study - 25,Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...,1
52,Incredible: Free Money for Everyone Starting Next Week! 33,Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...,0
53,Company Announces Quarterly Earnings Report - 62,Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...,1
54,Miracle Diet: Lose 50 Pounds in 1 Week! 88,Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...,0
55,Local Council Approves New Infrastructure Project - 43,Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...,1
56,Unbelievable: Man Lives to 200 Years Using This Method 49,Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...,0
57,Government Releases Annual Budget Proposal - 6,"The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...",1
58,Shocking Truth: Government Hiding Alien Contact 22,Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...,0
59,Sports Team Wins Championship After Close Match - 30,"The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...",1
60,Celebrity Secretly Controls World Government 75,Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...,0
61,University Researchers Make Progress in Cancer Study - 28,Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...,1
62,EXPOSED: The Real Truth Behind Recent Events 95,Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...,0
63,Sports Team Wins Championship After Close Match - 26,"The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...",1
64,Celebrity Secretly Controls World Government 92,Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...,0
65,Research Team Publishes Study on Climate Patterns - 52,"The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...",1
66,Celebrity Secretly Controls World Government 55,Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...,0
67,Museum Hosts Exhibition of Historical Artifacts - 62,"The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...",1
68,Incredible: Free Money for Everyone Starting Next Week! 59,Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...,0
69,Company Announces Quarterly Earnings Report - 88,Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...,1
70,Amazing: This One Trick Doctors Don't Want You to Know 79,"According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...",0
71,Research Team Publishes Study on Climate Patterns - 37,"The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...",1
72,Amazing: This One Trick Doctors Don't Want You to Know 5,"According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...",0
73,Company Announces Quarterly Earnings Report - 36,"The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...",1
74,URGENT: Banks Will Collapse Tomorrow! 1,Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...,0
75,Local Council Approves New Infrastructure Project - 28,Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...,1
76,Miracle Diet: Lose 50 Pounds in 1 Week! 51,Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...,0
77,Sports Team Wins Championship After Close Match - 42,Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...,1
78,EXPOSED: The Real Truth Behind Recent Events 100,"According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...",0
79,Tech Company Launches Updated Software Version - 4,Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...,1
80,EXPOSED: The Real Truth Behind Recent Events 59,"Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...",0
81,Research Team Publishes Study on Climate Patterns - 43,"The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...",1
82,Amazing: This One Trick Doctors Don't Want You to Know 70,Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...,0
83,Company Announces Quarterly Earnings Report - 5,Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...,1
84,EXPOSED: The Real Truth Behind Recent Events 99,Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...,0
85,Local Council Approves New Infrastructure Project - 78,Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...,1
86,Celebrity Secretly Controls World Government 71,Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...,0
87,City Opens New Community Center for Residents - 57,"The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...",1
88,Celebrity Secretly Controls World Government 4,Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...,0
89,Sports Team Wins Championship After Close Match - 9,"The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...",1
90,Incredible: Free Money for Everyone Starting Next Week! 43,"According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...",0
91,School District Implements New Education Program - 28,The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...,1
92,WARNING: Your Phone is Spying on You Right Now! 48,"According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...",0
93,Museum Hosts Exhibition of Historical Artifacts - 25,Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...Researchers at the university published their findings in the Journal of Climate Science. The study examined...,1
94,Miracle Diet: Lose 50 Pounds in 1 Week! 80,Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...,0
95,Local Council Approves New Infrastructure Project - 40,"The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...The new community center, located on Main Street, opened its doors to residents this week. Facilities include...",1
96,BREAKING: Scientists Discover Cure for All Diseases! 54,Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...,0
97,City Opens New Community Center for Residents - 50,The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...,1
98,Incredible: Free Money for Everyone Starting Next Week! 94,Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...Leaked documents reveal shocking information that governments worldwide have been hiding from the public for decades...,0
99,Museum Hosts Exhibition of Historical Artifacts - 47,Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...,1
100,Incredible: Free Money for Everyone Starting Next Week! 56,Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...,0
101,Company Announces Quarterly Earnings Report - 57,"The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...",1
102,WARNING: Your Phone is Spying on You Right Now! 22,"According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...According to unnamed sources, scientists have made an unprecedented discovery that will change everything we know about medicine...",0
103,School District Implements New Education Program - 27,"The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...The company reported revenues of $X million for Q3, representing a Y% increase compared to the same period last year...",1
104,BREAKING: Scientists Discover Cure for All Diseases! 41,Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...Doctors are furious about this simple trick that has helped thousands lose weight without any effort or exercise...,0
105,Government Releases Annual Budget Proposal - 13,The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...,1
106,URGENT: Banks Will Collapse Tomorrow! 48,"Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...",0
107,Research Team Publishes Study on Climate Patterns - 25,The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...The city council voted 7-2 in favor of the new infrastructure project during Tuesday's meeting. The project includes...,1
108,Miracle Diet: Lose 50 Pounds in 1 Week! 41,"Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...Financial experts warn of imminent collapse, but mainstream media refuses to report the truth...",0
109,Sports Team Wins Championship After Close Match - 69,Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...Scientists at the research institute have made significant progress in understanding cancer cell behavior. The team...,1
110,Amazing: This One Trick Doctors Don't Want You to Know 47,Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...Investigation reveals disturbing connections between powerful figures and secretive organizations...,0
